r,k,l,attack_beats_colonize,colonize_beats_defend,defend_beats_attack,min_margin,cycle_holds
1.0000,1.2500,0.2500,1.000000,0.167337,0.010993,0.010993,0
1.0000,1.2500,0.3000,1.000000,0.167338,0.204980,0.167338,1
1.0000,1.2500,0.3500,1.000000,0.167338,-0.008977,-0.008977,0
1.0000,1.2500,0.4000,1.000000,0.167339,0.104119,0.104119,1
1.0000,1.2500,0.4500,1.000000,0.167339,0.053954,0.053954,1
1.0000,1.5000,0.0000,1.000000,0.167335,-0.155219,-0.155219,0
1.0000,1.5000,0.0500,1.000000,0.167335,0.176303,0.167335,1
1.0000,1.5000,0.1000,1.000000,0.167336,0.083925,0.083925,1
1.0000,1.5000,0.1500,1.000000,0.167336,0.194095,0.167336,1
1.0000,1.5000,0.2000,1.000000,0.167337,0.074297,0.074297,1
1.0000,1.5000,0.2500,1.000000,0.167337,0.126131,0.126131,1
1.0000,1.5000,0.3000,1.000000,0.167338,-0.121005,-0.121005,0
1.0000,1.5000,0.3500,1.000000,0.167338,0.049880,0.049880,0
1.0000,1.5000,0.4000,0.711722,0.167339,0.037453,0.037453,0
1.0000,1.5000,0.4500,0.152354,0.167339,-0.028383,-0.028383,0
1.0000,1.7500,0.0000,1.000000,0.167335,0.170877,0.167335,1
1.0000,1.7500,0.0500,1.000000,0.167335,0.245899,0.167335,1
1.0000,1.7500,0.1000,1.000000,0.167336,0.175799,0.167336,1
1.0000,1.7500,0.1500,1.000000,0.167336,0.113708,0.113708,1
1.0000,1.7500,0.2000,1.000000,0.167337,0.124065,0.124065,1
1.0000,1.7500,0.2500,1.000000,0.167337,-0.075596,-0.075596,0
1.0000,1.7500,0.3000,0.697820,0.167338,-0.061352,-0.061352,0
1.0000,1.7500,0.3500,0.204760,0.167338,0.039579,0.039579,0
1.0000,1.7500,0.4000,-0.021886,0.167339,0.038774,-0.021886,0
1.0000,1.7500,0.4500,-0.354548,0.167339,0.035265,-0.354548,0
1.0000,2.0000,0.0000,1.000000,0.167335,0.178160,0.167335,1
1.0000,2.0000,0.0500,1.000000,0.167335,0.188495,0.167335,1
1.0000,2.0000,0.1000,1.000000,0.167336,0.102320,0.102320,1
1.0000,2.0000,0.1500,1.000000,0.167336,0.067120,0.067120,1
1.0000,2.0000,0.2000,0.771921,0.167337,0.088760,0.088760,1
